getpid()                                                                                                                                   = 526
strcmp("test", "times")                                                                                                                    = -4
strcmp("shift", "suspend")                                                                                                                 = -13
strcmp("source", "suspend")                                                                                                                = -6
strcmp("ulimit", "umask")                                                                                                                  = -1
strcmp("for", "for ((")                                                                                                                    = -32
strcmp("type", "time")                                                                                                                     = 16
strcmp("shift", "select")                                                                                                                  = 3
strcmp("test", "time")                                                                                                                     = -4
strcmp("times", "time")                                                                                                                    = 115
strcmp("times", "type")                                                                                                                    = -16
strcmp("trap", "type")                                                                                                                     = -7
strcmp("pushd", "popd")                                                                                                                    = 6
strcmp("popd", "printf")                                                                                                                   = -3
strcmp("pushd", "printf")                                                                                                                  = 3
strcmp("complete", "compgen")                                                                                                              = 5
strcmp("compgen", "compopt")                                                                                                               = -8
strcmp("complete", "compopt")                                                                                                              = -3
strcmp("coproc", "compgen")                                                                                                                = 3
strcmp("coproc", "complete")                                                                                                               = 3
strcmp("coproc", "compopt")                                                                                                                = 3
strcmp("[", "[[ ... ]]")                                                                                                                   = -91
strcmp("case", "compgen")                                                                                                                  = -14
strcmp("for", "function")                                                                                                                  = -6
strcmp("for ((", "function")                                                                                                               = -6
strcmp("readonly", "readarray")                                                                                                            = 14
strcmp("select", "shopt")                                                                                                                  = -3
strcmp("shift", "shopt")                                                                                                                   = -6
strcmp("source", "shopt")                                                                                                                  = 7
strcmp("ulimit", "until")                                                                                                                  = -2
strcmp("umask", "until")                                                                                                                   = -1
strcmp("wait", "while")                                                                                                                    = -7
strcmp("caller", "case")                                                                                                                   = -7
strcmp("cd", "case")                                                                                                                       = 3
strcmp("cd", "compgen")                                                                                                                    = -11
strcmp("command", "compgen")                                                                                                               = -3
strcmp("continue", "compgen")                                                                                                              = 1
strcmp("continue", "complete")                                                                                                             = 1
strcmp("continue", "compopt")                                                                                                              = 1
strcmp("continue", "coproc")                                                                                                               = -2
strcmp("declare", "dirs")                                                                                                                  = -4
strcmp("disown", "dirs")                                                                                                                   = 1
strcmp("false", "for")                                                                                                                     = -14
strcmp("fc", "for")                                                                                                                        = -12
strcmp("fg", "for")                                                                                                                        = -8
strcmp("pwd", "popd")                                                                                                                      = 8
strcmp("pwd", "printf")                                                                                                                    = 5
strcmp("pwd", "pushd")                                                                                                                     = 2
strcmp("read", "readarray")                                                                                                                = -97
strcmp("return", "readarray")                                                                                                              = 19
strcmp("return", "readonly")                                                                                                               = 19
strcmp("set", "select")                                                                                                                    = 8
strcmp("set", "shift")                                                                                                                     = -3
strcmp("true", "test")                                                                                                                     = 13
strcmp("true", "time")                                                                                                                     = 9
strcmp("true", "times")                                                                                                                    = 9
strcmp("true", "trap")                                                                                                                     = 20
strcmp("true", "type")                                                                                                                     = -7
strcmp("typeset", "type")                                                                                                                  = 115
strcmp("unalias", "ulimit")                                                                                                                = 2
strcmp("unalias", "umask")                                                                                                                 = 1
strcmp("unalias", "until")                                                                                                                 = -19
strcmp("unset", "until")                                                                                                                   = -1
memset(0x76f008, '\317', 1264)                                                                                                             = 0x76f008
<... qsort resumed> )                                                                                                                      = <void>
sigemptyset(<>)                                                                                                                            = 0
sigemptyset(<>)                                                                                                                            = 0
sigaction(SIGCHLD, { 0, <>, 0, 0 }, { 0, <>, 0x1, 0 })                                                                                     = 0
sigemptyset(<>)                                                                                                                            = 0
sigemptyset(<>)                                                                                                                            = 0
sigaction(SIGCHLD, { 0, <>, 0, 0 }, { 0, <>, 0x1, 0 })                                                                                     = 0
sigemptyset(<>)                                                                                                                            = 0
sigemptyset(<>)                                                                                                                            = 0
sigaction(SIGINT, { 0, <>, 0, 0 }, { 0, <1>, 0x1, 0 })                                                                                     = 0
sigemptyset(<>)                                                                                                                            = 0
sigemptyset(<>)                                                                                                                            = 0
sigaction(SIGINT, { 0, <>, 0, 0 }, { 0, <>, 0x1, 0 })                                                                                      = 0
sigemptyset(<>)                                                                                                                            = 0
sigemptyset(<>)                                                                                                                            = 0
sigaction(SIGQUIT, { 0, <>, 0, 0 }, { 0, <>, 0x1, 0 })                                                                                     = 0
sigemptyset(<>)                                                                                                                            = 0
sigemptyset(<>)                                                                                                                            = 0
sigaction(SIGQUIT, { 0, <>, 0, 0 }, { 0, <>, 0x1, 0 })                                                                                     = 0
sigemptyset(<>)                                                                                                                            = 0
sigprocmask(0, nil, <>)                                                                                                                    = 0
sigdelset(<>, SIGCHLD)                                                                                                                     = 0
sigemptyset(<>)                                                                                                                            = 0
sigemptyset(<>)                                                                                                                            = 0
sigaction(SIGQUIT, { 0x1, <>, 0, 0 }, { 0, <>, 0x1, 0x7fcd7d624520 })                                                                      = 0
gethostname("ManuelErika", 255)                                                                                                            = 0
strcpy(0x76b228, "ManuelErika")                                                                                                            = 0x76b228
memset(0x76c848, '\337', 40)                                                                                                               = 0x76c848
memset(0x76e808, '\337', 512)                                                                                                              = 0x76e808
memset(0x76ec08, '\337', 512)                                                                                                              = 0x76ec08
memset(0x76f008, '\337', 512)                                                                                                              = 0x76f008
memset(0x76c888, '\337', 48)                                                                                                               = 0x76c888
strlen("COMP_WORDBREAKS")                                                                                                                  = 15
strcpy(0x76b2e8, "COMP_WORDBREAKS")                                                                                                        = 0x76b2e8
strlen("COMP_WORDBREAKS")                                                                                                                  = 15
strcpy(0x76b308, "COMP_WORDBREAKS")                                                                                                        = 0x76b308
strlen(" \t\n"'><;|&(:")                                                                                                                   = 12
strcpy(0x76b328, " \t\n"'><;|&(:")                                                                                                         = 0x76b328
__ctype_b_loc()                                                                                                                            = 0x7fcd7d6706d0
strlen("COMP_WORDBREAKS= \t\n"'><;|&(:")                                                                                                   = 28
strcpy(0x76c908, "COMP_WORDBREAKS= \t\n"'><;|&(:")                                                                                         = 0x76c908
memset(0x76c948, '\337', 48)                                                                                                               = 0x76c948
strlen("NVM_CD_FLAGS")                                                                                                                     = 12
strcpy(0x76b348, "NVM_CD_FLAGS")                                                                                                           = 0x76b348
strlen("NVM_CD_FLAGS")                                                                                                                     = 12
strcpy(0x76b368, "NVM_CD_FLAGS")                                                                                                           = 0x76b368
sbrk(4096)                                                                                                                                 = 0x770000
__ctype_b_loc()                                                                                                                            = 0x7fcd7d6706d0
strlen("NVM_CD_FLAGS=")                                                                                                                    = 13
strcpy(0x76b388, "NVM_CD_FLAGS=")                                                                                                          = 0x76b388
memset(0x76c9c8, '\337', 48)                                                                                                               = 0x76c9c8
strlen("SHELL")                                                                                                                            = 5
strcpy(0x76b3a8, "SHELL")                                                                                                                  = 0x76b3a8
strlen("SHELL")                                                                                                                            = 5
strcpy(0x76b3c8, "SHELL")                                                                                                                  = 0x76b3c8
strlen("/bin/bash")                                                                                                                        = 9
strcpy(0x76b3e8, "/bin/bash")                                                                                                              = 0x76b3e8
__ctype_b_loc()                                                                                                                            = 0x7fcd7d6706d0
strlen("SHELL=/bin/bash")                                                                                                                  = 15
strcpy(0x76b408, "SHELL=/bin/bash")                                                                                                        = 0x76b408
memset(0x76ca48, '\337', 48)                                                                                                               = 0x76ca48
strlen("TERM")                                                                                                                             = 4
strcpy(0x76b428, "TERM")                                                                                                                   = 0x76b428
strlen("TERM")                                                                                                                             = 4
strcpy(0x76b448, "TERM")                                                                                                                   = 0x76b448
strlen("xterm-256color")                                                                                                                   = 14
strcpy(0x76b468, "xterm-256color")                                                                                                         = 0x76b468
__ctype_b_loc()                                                                                                                            = 0x7fcd7d6706d0
strlen("TERM=xterm-256color")                                                                                                              = 19
strcpy(0x76b488, "TERM=xterm-256color")                                                                                                    = 0x76b488
memset(0x76cac8, '\337', 48)                                                                                                               = 0x76cac8
strlen("PERL5LIB")                                                                                                                         = 8
strcpy(0x76b4a8, "PERL5LIB")                                                                                                               = 0x76b4a8
strlen("PERL5LIB")                                                                                                                         = 8
strcpy(0x76b4c8, "PERL5LIB")                                                                                                               = 0x76b4c8
strlen("/home/manuel/perl5/lib/perl5")                                                                                                     = 28
strcpy(0x76cb48, "/home/manuel/perl5/lib/perl5")                                                                                           = 0x76cb48
__ctype_b_loc()                                                                                                                            = 0x7fcd7d6706d0
strlen("PERL5LIB=/home/manuel/perl5/lib/"...)                                                                                              = 37
memset(0x76cb88, '\337', 38)                                                                                                               = 0x76cb88
strcpy(0x76cb88, "PERL5LIB=/home/manuel/perl5/lib/"...)                                                                                    = 0x76cb88
memset(0x76cbc8, '\337', 48)                                                                                                               = 0x76cbc8
strlen("PERL_MB_OPT")                                                                                                                      = 11
strcpy(0x76b4e8, "PERL_MB_OPT")                                                                                                            = 0x76b4e8
strlen("PERL_MB_OPT")                                                                                                                      = 11
strcpy(0x76b508, "PERL_MB_OPT")                                                                                                            = 0x76b508
strlen("--install_base "/home/manuel/per"...)                                                                                              = 35
memset(0x76cc48, '\337', 36)                                                                                                               = 0x76cc48
strcpy(0x76cc48, "--install_base "/home/manuel/per"...)                                                                                    = 0x76cc48
__ctype_b_loc()                                                                                                                            = 0x7fcd7d6706d0
strlen("PERL_MB_OPT=--install_base "/hom"...)                                                                                              = 47
memset(0x76cc88, '\337', 48)                                                                                                               = 0x76cc88
strcpy(0x76cc88, "PERL_MB_OPT=--install_base "/hom"...)                                                                                    = 0x76cc88
memset(0x76ccc8, '\337', 48)                                                                                                               = 0x76ccc8
strlen("WSLENV")                                                                                                                           = 6
strcpy(0x76b528, "WSLENV")                                                                                                                 = 0x76b528
strlen("WSLENV")                                                                                                                           = 6
strcpy(0x76b548, "WSLENV")                                                                                                                 = 0x76b548
__ctype_b_loc()                                                                                                                            = 0x7fcd7d6706d0
strlen("WSLENV=")                                                                                                                          = 7
strcpy(0x76b568, "WSLENV=")                                                                                                                = 0x76b568
memset(0x76cd48, '\337', 48)                                                                                                               = 0x76cd48
strlen("NVM_DIR")                                                                                                                          = 7
strcpy(0x76b588, "NVM_DIR")                                                                                                                = 0x76b588
strlen("NVM_DIR")                                                                                                                          = 7
strcpy(0x76b5a8, "NVM_DIR")                                                                                                                = 0x76b5a8
strlen("/home/manuel/.nvm")                                                                                                                = 17
strcpy(0x76b5c8, "/home/manuel/.nvm")                                                                                                      = 0x76b5c8
__ctype_b_loc()                                                                                                                            = 0x7fcd7d6706d0
strlen("NVM_DIR=/home/manuel/.nvm")                                                                                                        = 25
strcpy(0x76cdc8, "NVM_DIR=/home/manuel/.nvm")                                                                                              = 0x76cdc8
memset(0x76ce08, '\337', 48)                                                                                                               = 0x76ce08
strlen("USER")                                                                                                                             = 4
strcpy(0x76b5e8, "USER")                                                                                                                   = 0x76b5e8
strlen("USER")                                                                                                                             = 4
strcpy(0x76b608, "USER")                                                                                                                   = 0x76b608
strlen("manuel")                                                                                                                           = 6
strcpy(0x76b628, "manuel")                                                                                                                 = 0x76b628
__ctype_b_loc()                                                                                                                            = 0x7fcd7d6706d0
strlen("USER=manuel")                                                                                                                      = 11
strcpy(0x76b648, "USER=manuel")                                                                                                            = 0x76b648
memset(0x76ce88, '\337', 48)                                                                                                               = 0x76ce88
strlen("NAME")                                                                                                                             = 4
strcpy(0x76b668, "NAME")                                                                                                                   = 0x76b668
strlen("NAME")                                                                                                                             = 4
strcpy(0x76b688, "NAME")                                                                                                                   = 0x76b688
strlen("ManuelErika")                                                                                                                      = 11
strcpy(0x76b6a8, "ManuelErika")                                                                                                            = 0x76b6a8
__ctype_b_loc()                                                                                                                            = 0x7fcd7d6706d0
strlen("NAME=ManuelErika")                                                                                                                 = 16
strcpy(0x76b6c8, "NAME=ManuelErika")                                                                                                       = 0x76b6c8
memset(0x76cf08, '\337', 48)                                                                                                               = 0x76cf08
strlen("LS_COLORS")                                                                                                                        = 9
strcpy(0x76b6e8, "LS_COLORS")                                                                                                              = 0x76b6e8
strlen("LS_COLORS")                                                                                                                        = 9
strcpy(0x76b708, "LS_COLORS")                                                                                                              = 0x76b708
strlen("rs=0:di=01;34:ln=01;36:mh=00:pi="...)                                                                                              = 1302
memset(0x76f808, '\337', 1303)                                                                                                             = 0x76f808
strcpy(0x76f808, "rs=0:di=01;34:ln=01;36:mh=00:pi="...)                                                                                    = 0x76f808
